merchant_id,mcc,vertical,country,trust_score,prior_cb_rate,refund_rate,cancel_rate,website_uptime,sentiment,sales_growth_3m,payout_delay_days,reserve_percent,deposit_policy_percent,days_in_advance,booking_amount,new_merchant,shock_flag
M0610,8299,education_courses,BR,92.93102582,0.001854287,0.054899517,0.003326816,0.992209125,-0.089418312,-0.212092459,7,8.949290223,6.733686098,53,32.86,0,0
M0213,4511,airline,GB,69.47171182,0.002085058,0.04764101,0.08377786,0.969257093,-0.392282592,0.2092274,2,5.145976544,0,88,38.35,0,1
M0290,4511,airline,BR,80.54070875,0.013526281,0.014638842,0.099600961,0.999,-0.373751572,-0.014859712,1,6.238811037,19.49756121,100,23.69,0,0
M0706,7922,event_ticketing,US,61.05522827,0.028933285,0.105840196,0.051883751,0.985732176,-0.151394756,-0.201934433,1,8.188893595,10.01364195,22,124.87,0,0
M0026,7922,event_ticketing,IN,52.13721978,0.063622268,0.065468555,0.235268429,0.97986839,0.306041322,0.137865221,0,10.94163202,26.81045324,51,92.53,1,0
M0312,7011,hotel,ZA,76.38482064,0.017618045,0.108665661,0.064931915,0.967871265,0.464450283,-0.205724631,2,12.04561583,1.91745848,34,40.07,0,0
M0735,5817,digital_services,AE,96.10530562,0.08565126,0.07065642,0.174486016,0.984100678,-0.152742418,0.172395587,1,5.524661034,8.553041864,6,220.14,0,0
M0130,4121,transport_shuttle,AE,58.06369963,0.036118565,0.103352847,0.12190539,0.998657924,0.041280471,-0.04207329,7,1.38448929,15.97353562,0,20,0,0
M0145,8299,education_courses,CA,93.14860082,0.00901024,0.110052922,0.237048492,0.986567575,0.391046254,0.154258735,14,6.981998203,0,42,34.03,0,1
M0129,5964,retail_goods_prepay,BR,80.47269258,0.013873326,0.083342189,0.067941258,0.985320485,-0.123507276,0.195812253,7,0,0,24,32.69,0,0
M0389,7922,event_ticketing,IN,71.52629438,0.077720852,0.030782678,0.053626863,0.991383547,-0.202994939,0.057394423,1,7.383313064,0,38,50.03,0,0
M0172,7922,event_ticketing,CA,69.23707702,0.067191132,0.159469603,0.031944927,0.977042786,0.220609157,-0.120510848,14,5.381533034,5.839111989,38,260.23,0,0
M0056,5817,digital_services,EU,82.25918072,0.038487236,0.064625349,0.038673008,0.974217529,0.15153868,0.129914243,0,8.213223717,13.42205404,0,32.93,0,0
M0487,4511,airline,US,60.60782857,0.018306175,0.1170835,0.178267764,0.981209762,0.373132017,-0.103856724,14,7.941797715,0,207,72.64,0,0
M0730,5968,subscription_box,US,41.96064833,0.003379739,0.106394169,0.306317697,0.980809124,0.605526128,0.258109127,2,4.270239284,13.92945512,1,166.42,1,0
M0352,4511,airline,IN,69.62108464,0.031310937,0.110651168,0.0714362,0.994527687,-0.023980251,-0.094250038,2,9.652986791,7.032861429,122,33.84,1,0
M0632,4511,airline,AU,49.47035304,0.009617407,0.011897042,0.232931632,0.989330241,0.035282437,0.015446359,0,10.94836917,0,120,31.63,0,1
M0343,5817,digital_services,IN,85.74947185,0.021684587,0.220978023,0.026211226,0.982708267,-0.170574934,0.206860052,1,7.696776236,11.23097481,0,66.74,0,0
M0630,7011,hotel,EU,66.0670759,0.01762043,0.020884895,0.238956758,0.983274625,0.143334221,0.142102482,2,4.502445703,0.93969695,36,20.76,0,0
M0491,4511,airline,US,74.30775832,0.05167644,0.016397279,0.14339409,0.986329371,0.307693151,0.385578986,0,0.88421607,11.79070646,172,98.01,0,0
M0712,5817,digital_services,CA,77.40375963,0.067038921,0.1692418,0.046492917,0.986120347,-0.104177362,0.078746065,1,9.783113827,0,15,16.02,0,0
M0376,7922,event_ticketing,IN,89.34900858,0.019317118,0.08204456,0.157234207,0.999,-0.104619763,0.127508749,7,4.670359218,26.89496885,36,252.34,0,0
M0521,5964,retail_goods_prepay,AU,81.5977713,0.048748755,0.017542034,0.081606253,0.975433987,0.554639188,0.096562111,0,6.853103217,10.55087891,14,25.76,0,0
M0322,4511,airline,ZA,55.90459169,0.00721975,0.113167237,0.051063424,0.979123816,-0.075267439,-0.065257498,1,2.427529989,20.42605563,148,39.16,0,0
M0095,5964,retail_goods_prepay,AU,53.44850055,0.008796074,0.005668588,0.293190462,0.994178839,0.196736602,0.026466158,7,3.482661885,11.92448761,16,81.6,0,0
M0582,5964,retail_goods_prepay,BR,39.61605101,0.001897357,0.020173175,0.308058198,0.981231764,0.151636191,-0.059997006,7,8.96142964,8.381161463,6,67.61,0,0
M0073,4511,airline,ZA,91.25878179,0.042939634,0.024541348,0.111119751,0.976474454,-0.618458948,0.424425332,2,12.1017097,5.238871744,94,92.68,0,0
M0080,4722,tour_operator,US,73.08156727,0.018052661,0.079689823,0.040982081,0.999,-0.128727869,-0.042564414,2,10.38141604,19.45422678,137,30.66,0,0
M0443,4722,tour_operator,BR,63.85004961,0.023873921,0.09538753,0.104427862,0.98033761,0.189845973,0.177661781,0,2.744837637,13.16659409,91,25.87,0,0
M0331,4511,airline,AU,76.10670617,0.012042844,0.079210138,0.163661535,0.993522713,0.410170575,0.148742125,0,4.640766173,9.265865055,15,48.48,0,0
M0694,5968,subscription_box,AU,81.85764762,0.036758741,0.06146881,0.04033566,0.992654921,0.270683175,0.069770467,0,3.94003087,15.65758234,0,65.81,0,0
M0781,4722,online_travel_agency,AU,73.92263284,0.017634265,0.124149067,0.17256474,0.990522109,0.276738636,0.056565614,1,7.214605792,8.800476324,111,27.85,0,0
M0131,5968,subscription_box,GB,69.20898575,0.025137819,0.378014024,0.024928891,0.967304639,-0.866211963,-0.017984916,0,8.809594989,8.253611169,2,50.5,0,1
M0424,7922,event_ticketing,BR,82.13762253,0.004605384,0.046538613,0.027709559,0.988684488,0.043563011,-0.019629503,2,6.580510259,22.30401511,46,42.4,0,0
M0101,7922,event_ticketing,CA,68.32247706,0.043418625,0.111199055,0.1310766,0.980618826,0.009737273,0.060508847,7,4.668867236,0,64,20.21,0,0
M0564,4121,transport_shuttle,SG,87.12898207,0.006587252,0.280967209,0.25742927,0.981050203,0.061131072,-0.036898674,1,11.08803104,0,9,34.81,0,0
M0549,4722,tour_operator,AU,70.7331517,0.021459305,0.017361581,0.39861688,0.989074014,0.113734639,0.086229277,30,3.262158898,4.308911601,68,36.56,0,0
M0453,5817,digital_services,ZA,68.0559459,0.017323478,0.058303727,0.148678609,0.989295232,0.371182588,-0.012857117,7,10.70838816,0,0,61.1,0,0
M0655,8299,education_courses,GB,54.70202394,0.001393967,0.095230119,0.250154203,0.991144777,-0.148549054,-0.014697487,2,9.288110479,0,55,56.58,0,0
M0623,7922,event_ticketing,GB,56.62724335,0.00686201,0.146076226,0.142801227,0.988261844,-0.146202175,0.040373659,14,9.110691861,6.452967146,115,85.8,0,0
M0278,4722,tour_operator,AE,52.34771489,0.018073484,0.01691162,0.132865952,0.977201475,0.584523762,-0.003411756,1,7.069752219,13.15817153,122,90.31,1,0
M0661,4121,transport_shuttle,EU,91.58936209,0.005366641,0.182299022,0.3907884,0.977871043,-0.399777152,0.006004965,0,0,6.930561685,19,25.72,0,0
M0529,4511,airline,ZA,66.63003331,0.033873868,0.170529343,0.060939651,0.973828175,-0.022747287,0.125648796,0,10.28813358,8.913915361,91,108.85,0,0
M0493,5817,digital_services,GB,88.22042911,0.005109619,0.036440744,0.040282648,0.979355483,-0.812244529,0.129120691,1,5.427150083,27.54589077,9,115.01,0,0
M0194,4511,airline,GB,66.83575508,0.03122999,0.025041107,0.010319226,0.992587631,0.15245465,-0.077425841,7,6.134712223,7.980807009,58,68.23,0,0
M0264,5964,retail_goods_prepay,GB,73.22803791,0.002951826,0.010081139,0.048140697,0.983293457,0.446805332,0.018015098,0,7.028645932,3.0274606,6,25.77,0,0
M0133,4121,transport_shuttle,GB,60.35051695,0.033590059,0.020392543,0.095201817,0.977397399,0.147158441,0.351265322,0,7.517285707,1.825165062,3,49.62,0,0
M0582,5964,retail_goods_prepay,BR,39.61605101,0.001897357,0.020173175,0.308058198,0.981231764,0.151636191,-0.059997006,7,8.96142964,8.381161463,15,140.83,0,0
M0191,8299,education_courses,EU,72.22967058,0.005744687,0.044257167,0.1749075,0.977204808,0.011964632,0.038759708,1,0.34334981,17.38930204,47,55.54,0,0
M0758,5817,digital_services,US,61.13101161,0.022989301,0.016732363,0.272856433,0.982623444,-0.303215825,-0.082230787,14,6.641762846,22.20271642,0,153.14,0,0
M0291,5964,retail_goods_prepay,SG,98,0.023193066,0.126088991,0.018054721,0.97706717,-0.270684245,-0.027753695,0,6.295335654,0,19,137.97,0,0
M0722,7011,hotel,ZA,64.24467794,0.057051071,0.029645563,0.064775949,0.981664744,-0.107359817,0.397293109,1,12.44063385,3.179873754,26,31.22,0,0
M0502,4722,online_travel_agency,BR,60.12851289,0.021440779,0.134131584,0.007732607,0.982637549,0.220297691,0.083077456,14,6.479148957,0,93,8.57,0,0
M0057,7011,hotel,CA,73.42780235,0.004075253,0.06560935,0.016854681,0.999,0.410409623,0.145943374,1,3.423264806,17.53276212,22,30.02,0,0
M0786,5964,retail_goods_prepay,AE,84.95968055,0.017815071,0.073279232,0.099684565,0.999,-0.567812517,0.074958143,2,9.79430185,26.57308075,13,76.87,0,0
M0655,8299,education_courses,GB,54.70202394,0.001393967,0.095230119,0.250154203,0.991144777,-0.148549054,-0.014697487,2,9.288110479,0,44,127.37,0,0
M0339,4121,transport_shuttle,CA,73.28846834,0.011921759,0.054387658,0.027793376,0.990340932,0.082320975,0.200202676,7,1.107639844,0,2,15.03,0,0
M0796,8299,education_courses,US,47.55878629,0.01634799,0.014499698,0.05522047,0.978997782,0.217100835,-0.047637311,2,8.035819851,13.3436853,22,47.82,0,0
M0460,5968,subscription_box,EU,52.67689255,0.012483274,0.003198946,0.034372413,0.987310186,0.083516584,0.107793207,1,2.938024603,13.58008377,0,18.75,1,0
M0178,8299,education_courses,SG,98,0.052226876,0.042600588,0.046754215,0.976108372,0.769600998,-0.053683898,2,3.276999383,14.43052669,30,52.83,0,0
M0322,4511,airline,ZA,55.90459169,0.00721975,0.113167237,0.051063424,0.979123816,-0.075267439,-0.065257498,1,2.427529989,20.42605563,72,135.81,0,0
M0249,5817,digital_services,IN,64.4169191,0.011326209,0.065055658,0.04481295,0.97612624,0.528034255,-0.016426639,7,1.556137412,5.801741454,6,16.86,0,0
M0512,4511,airline,SG,72.35432074,0.029791964,0.085021597,0.132887142,0.994530619,0.705421705,0.271972753,0,2.474825122,25.57515604,81,119.2,0,0
M0131,5968,subscription_box,GB,69.20898575,0.025137819,0.378014024,0.024928891,0.967304639,-0.866211963,-0.017984916,0,8.809594989,8.253611169,0,30,0,0
M0575,7922,event_ticketing,AE,68.45791029,0.064227682,0.092030102,0.120361636,0.988939221,0.088741078,-0.217409725,0,11.08646621,0,47,58.71,0,0
M0513,8299,education_courses,AE,48.02982667,0.028263216,0.07845896,0.115477236,0.984337454,-0.236325885,0.0016459,7,10.61307441,22.29526517,3,119.64,0,0
M0682,7011,hotel,US,58.94629812,0.047721036,0.101501759,0.090817739,0.990039972,-0.769618217,-0.219449259,2,4.590864733,2.052292935,23,89.77,1,0
M0046,4511,airline,US,83.21173335,0.00034739,0.024001971,0.05579394,0.986752152,0.158028673,-0.232358974,0,6.178858566,0,43,52.05,0,0
M0244,4722,tour_operator,US,93.39360391,0.023590682,0.11251255,0.208044697,0.967458497,0.391497103,0.215046256,2,5.767872446,0,46,23.58,0,0
M0554,8299,education_courses,EU,93.65678904,0.04521863,0.07908917,0.080187776,0.990484213,-0.014340771,-0.035753874,1,9.40017186,15.99771557,55,40.15,0,0
M0401,5968,subscription_box,BR,60.69010685,0.125157566,0.061672299,0.110438301,0.987176083,0.361123294,-0.149329764,2,3.810383977,2.983646975,8,172.39,0,0
M0160,5968,subscription_box,CA,72.97295906,0.037356334,0.055935469,0.299486307,0.988992871,0.612671731,0.216310967,1,4.712618158,0,3,87.08,0,0
M0117,4121,transport_shuttle,US,86.20001804,0.017059272,0.01342928,0.210757972,0.978074751,-0.09305903,0.039563932,14,8.66219987,13.89476262,10,140.37,0,0
M0182,4722,online_travel_agency,AU,68.22716701,0.031949001,0.061874061,0.068622488,0.981463664,0.065139915,0.076545846,2,0,10.97714083,50,37.81,0,0
M0137,4511,airline,EU,64.55073081,0.012801427,0.046291841,0.158417798,0.967493601,0.561967173,0.15012978,30,6.301374321,2.636439423,82,66.27,0,0
M0727,4722,tour_operator,SG,55.31584966,0.015982403,0.038105672,0.142101506,0.988161888,-0.155474873,0.076456881,1,12.37332454,18.55383709,54,36.06,0,1
M0289,4511,airline,AE,43.68914207,0.054838666,0.068355503,0.032813584,0.979744548,-0.058040698,-0.149725582,1,5.480813054,17.59009552,117,26.41,0,0
M0328,5817,digital_services,AU,86.16277451,0.010083916,0.054476507,0.059765992,0.9868551,0.089301821,-0.120119679,0,8.394455027,10.71705011,0,105.6,0,0
M0510,4511,airline,GB,68.66932304,0.016076429,0.082874355,0.095561178,0.980982939,0.30539905,0.160212002,7,1.441284261,4.219701712,65,20.64,0,0
M0702,5817,digital_services,SG,48.73113922,0.001266783,0.007563296,0.109878658,0.992147642,0.266545888,0.030873559,1,2.884018857,7.370852724,0,26.17,0,0
M0541,5817,digital_services,ZA,73.13732494,0.006580542,0.053088565,0.221821162,0.999,0.012473408,0.438463056,2,3.107577299,7.990897826,5,77.1,0,0
M0426,4722,tour_operator,SG,53.49515572,0.037461776,0.104830008,0.136037561,0.986623709,-0.390575424,0.064618168,0,3.290649458,0,86,21.75,0,0
M0312,7011,hotel,ZA,76.38482064,0.017618045,0.108665661,0.064931915,0.967871265,0.464450283,-0.205724631,2,12.04561583,1.91745848,15,58.78,0,0
M0574,7922,event_ticketing,ZA,72.081132,0.013806451,0.111074323,0.066343473,0.984011818,-0.531820616,0.106905721,14,7.338003419,19.1256251,96,45.52,0,0
M0668,5964,retail_goods_prepay,AE,92.50285178,0.036564433,0.050506892,0.096852576,0.991689408,0.179523035,-0.228431458,30,7.071412182,17.09907477,17,28.84,0,0
M0415,8299,education_courses,ZA,74.36289541,0.003325315,0.057717493,0.078173561,0.979453601,0.370670083,0.068421269,14,3.004883236,0,15,41.75,0,0
M0570,4722,tour_operator,IN,80.1823332,0.068413711,0.078045599,0.070894523,0.968027221,0.180608442,0.165545234,1,5.344628685,0,152,70.43,0,0
M0166,4722,online_travel_agency,US,66.69417025,0.021924741,0.068244675,0.107525925,0.996230257,0.078847186,0.312506483,30,11.71190925,8.418912055,39,28.97,0,0
M0282,5968,subscription_box,CA,76.63254795,0.016605506,0.227828213,0.028954503,0.968424534,0.077326249,-0.071873731,14,4.268962635,3.513695611,10,58.18,0,0
M0012,4121,transport_shuttle,EU,69.10484568,0.017194958,0.001650061,0.159359262,0.984194168,0.123710971,0.144838454,2,5.981610117,8.407547907,6,49.17,0,0
M0352,4511,airline,IN,69.62108464,0.031310937,0.110651168,0.0714362,0.994527687,-0.023980251,-0.094250038,2,9.652986791,7.032861429,111,69.17,1,0
M0584,4722,tour_operator,IN,45.42246719,0.005562825,0.023994,0.070595107,0.981623138,-0.27972577,0.208032901,1,3.611718132,13.26146358,166,42.42,1,0
M0207,8299,education_courses,US,65.89127504,0.000593032,0.156091372,0.025326959,0.979499745,0.288688094,0.176995817,7,7.305439672,0,41,64.79,0,0
M0483,8299,education_courses,CA,88.32767428,0.035587063,0.051657245,0.179212403,0.973393478,-0.157721955,-0.005379652,14,9.960703499,7.337681078,34,184.27,0,0
M0041,5817,digital_services,IN,67.12906738,0.065701728,0.072958681,0.103998242,0.97454867,0.9,-0.023479386,14,3.493660079,18.26586757,3,184.98,0,0
M0104,5817,digital_services,US,76.34442024,0.051812698,0.065087422,0.036308865,0.999,0.307453903,0.268137491,2,5.16986069,0,4,64.21,0,0
M0317,4722,online_travel_agency,GB,47.84741236,0.085095928,0.08042106,0.099063208,0.970925638,0.227639342,0.155697616,14,3.983739224,20.73191553,100,17.99,0,0
M0279,4722,online_travel_agency,AU,68.53684914,0.012560648,0.049447503,0.074481257,0.974358408,0.295793197,0.351873045,0,7.857418531,15.58608461,60,35.12,0,0
M0312,7011,hotel,ZA,76.38482064,0.017618045,0.108665661,0.064931915,0.967871265,0.464450283,-0.205724631,2,12.04561583,1.91745848,8,119.35,0,0
M0533,7922,event_ticketing,EU,64.90858525,0.017227286,0.101818974,0.005529898,0.994828155,0.292433768,0.383227788,1,0.082899148,9.716161185,33,26.72,0,0
M0006,7011,hotel,EU,61.80907908,0.002433667,0.128179827,0.045779359,0.99167223,-0.105509412,0.433155251,0,3.860178849,0,33,27.34,0,1
M0186,8299,education_courses,US,80.92202345,0.054256623,0.149996617,0.197255342,0.990379623,0.763011461,0.089536054,2,10.20225932,14.58802161,49,15.65,0,0
M0066,4121,transport_shuttle,BR,75.08605224,0.07746484,0.015070214,0.205369865,0.983756531,0.250098278,-0.083896424,7,6.638522415,5.140677915,2,56.84,0,0
M0017,7922,event_ticketing,BR,79.65463924,0.017779406,0.079864453,0.199221656,0.977882078,-0.015235694,0.058105596,0,9.640950286,9.039223766,48,50.54,0,0
M0523,7011,hotel,ZA,66.20106423,0.002790332,0.065805579,0.045717796,0.999,0.246549497,0.173075721,30,5.571470385,5.181624046,36,88.15,0,0
M0791,7011,hotel,SG,75.86916242,0.029442433,0.097887848,0.017014548,0.977974005,0.370683947,-0.030725491,30,7.659715841,11.04690024,19,41.37,0,0
M0405,5964,retail_goods_prepay,BR,52.08880513,0.004132158,0.090251065,0.220666608,0.971123406,-0.478396033,0.056516337,7,8.104870662,0,6,65.27,0,0
M0336,7011,hotel,EU,62.7351597,0.005918253,0.099388716,0.066587755,0.973816033,0.230536886,-0.066023927,1,2.091466094,0,31,64.13,0,0
M0099,4722,online_travel_agency,US,83.84175438,0.037436208,0.094491703,0.081898349,0.972607132,-0.049335243,-0.033774509,2,4.941215611,2.037006968,40,193.6,0,1
M0276,5964,retail_goods_prepay,AE,59.23354494,0.005240433,0.006259065,0.182948121,0.994048009,0.114556134,0.108728401,1,7.079080617,17.68978859,19,56.43,0,0
M0016,5817,digital_services,AE,53.08976127,0.018215796,0.046344149,0.310345813,0.982173716,-0.356101802,0.254632461,7,4.468971379,5.522285746,5,86.05,0,0
M0155,7922,event_ticketing,CA,71.24817147,0.022443121,0.066292192,0.064435673,0.982950833,0.275138895,0.192965424,7,6.368536059,14.81953381,128,20.03,0,0
M0366,7922,event_ticketing,IN,60.43165781,0.022483533,0.021719856,0.180543285,0.983346981,-0.041248516,-0.108071294,1,6.671631205,10.08247853,65,10.8,0,0
M0648,7011,hotel,AU,86.3621377,0.029988962,0.004512393,0.298631416,0.99506312,0.314715228,0.120519286,7,3.172339527,13.75274302,53,56.18,0,0
M0449,4722,online_travel_agency,ZA,73.6814035,0.029130981,0.215514771,0.196382012,0.986764843,-0.052681979,-0.185067191,0,5.851303189,33.9417762,144,163.02,0,0
M0109,8299,education_courses,US,57.07402635,0.012938032,0.126580184,0.110977863,0.992580217,-0.079516601,-0.036070739,7,5.345557459,15.2333653,4,20.39,0,0
M0446,4511,airline,SG,83.95059304,0.016496245,0.073011229,0.101083401,0.987067031,0.117394081,0.073139124,7,4.521756605,0,76,50.87,0,0
M0263,5968,subscription_box,ZA,90.73704894,0.022398628,0.060612002,0.016261099,0.991461954,0.152718307,0.209709903,0,10.69314992,18.81779236,0,36.28,0,0
M0479,4511,airline,AU,70.11558736,0.029862802,0.013275612,0.099600318,0.994285757,0.299134729,0.034329497,1,3.201847352,12.82644326,0,44.15,0,0
M0408,4722,online_travel_agency,US,92.43994257,0.080012293,0.045834588,0.075174997,0.979355753,0.147823342,0.147524032,14,7.910938381,17.74909534,56,26.65,0,0
M0798,7011,hotel,AE,73.68829539,0.004245019,0.05379469,0.156770522,0.98320775,0.410250287,-0.025314897,14,5.511127108,13.1095103,26,19.99,0,0
M0567,4722,tour_operator,CA,81.62918344,0.00438318,0.123107986,0.211208878,0.989533895,0.30017688,0.378778093,2,5.594773368,10.53810132,114,46.26,0,0
M0373,7011,hotel,BR,76.86139854,0.000826846,0.036339643,0.007283451,0.982393704,0.826880151,0.142354673,30,4.781708193,6.338699162,31,69.98,0,0
M0574,7922,event_ticketing,ZA,72.081132,0.013806451,0.111074323,0.066343473,0.984011818,-0.531820616,0.106905721,14,7.338003419,19.1256251,0,27.93,0,0
M0002,5964,retail_goods_prepay,EU,58.88052428,0.024300746,0.177897209,0.044452061,0.999,0.374127086,0.119940205,0,3.681873857,17.94862668,12,37.49,0,0
M0277,5964,retail_goods_prepay,AE,88.9668036,0.024191616,0.055449317,0.169777857,0.993666199,0.892817996,0.026227785,30,0,17.01973082,15,95.41,0,0
M0571,4722,online_travel_agency,US,58.48660561,0.037243895,0.162466264,0.113533917,0.985277666,-0.05242891,-0.054616914,14,7.375189573,20.40247308,7,62.3,0,0
M0717,8299,education_courses,ZA,66.90253706,0.022629548,0.106834426,0.331254805,0.990423948,0.30458677,-0.03858605,2,1.039635201,3.46150888,35,12.52,0,0
M0550,7011,hotel,AU,96.2251755,0.022033822,0.181205766,0.141217967,0.989037987,0.070371894,0.147876532,1,3.246407794,12.64079178,30,61.83,0,0
M0090,7011,hotel,EU,68.77906446,0.068210766,0.160186097,0.222579028,0.981690979,-0.623731994,0.257767689,2,10.80187242,2.083377634,16,56.67,0,0
M0538,4722,tour_operator,CA,70.36921399,0.033323751,0.031805773,0.12496337,0.980223623,0.119736288,0.064407597,2,7.825356123,5.855880556,189,33.29,0,0
M0372,7922,event_ticketing,AE,60.03700509,0.032960548,0.11443318,0.128259855,0.984444999,0.418883749,0.100838391,1,2.659488309,5.377092588,28,21.17,0,0
M0431,7011,hotel,CA,69.10814336,0.004463652,0.030941853,0.054342288,0.984125747,0.232880617,0.224951504,1,7.417498374,22.95783253,28,110.83,0,1
M0413,8299,education_courses,AU,48.60508205,0.037135823,0.146441749,0.149273514,0.96853567,-0.063450149,0.427188994,1,1.971791411,0,48,33.03,1,0
M0012,4121,transport_shuttle,EU,69.10484568,0.017194958,0.001650061,0.159359262,0.984194168,0.123710971,0.144838454,2,5.981610117,8.407547907,7,47.12,0,0
M0097,4511,airline,IN,83.48613173,0.018390153,0.072820542,0.127917136,0.983585036,0.104812213,0.230081947,30,1.938637956,13.11771705,75,134.04,0,0
M0789,4722,tour_operator,AE,69.18973061,0.003048063,0.143855626,0.120756253,0.990027818,0.352793035,0.167530134,14,3.482433349,5.127656879,43,38.29,0,0
M0311,4722,online_travel_agency,GB,75.78914912,0.056339043,0.212381788,0.037441456,0.98258447,0.386825766,-0.013569131,1,2.251329773,11.39587283,97,70.76,0,0
M0445,5817,digital_services,US,78.7961954,0.018676858,0.07420013,0.029576762,0.981711903,0.755304793,0.262504608,0,4.947585814,13.87017126,0,76.61,0,0
M0242,4722,online_travel_agency,US,66.56826735,0.039700898,0.141237231,0.163036058,0.980157507,-0.236594768,0.305268508,1,5.630371562,19.93288699,133,116.61,0,0
M0291,5964,retail_goods_prepay,SG,98,0.023193066,0.126088991,0.018054721,0.97706717,-0.270684245,-0.027753695,0,6.295335654,0,23,96.75,0,0
M0242,4722,online_travel_agency,US,66.56826735,0.039700898,0.141237231,0.163036058,0.980157507,-0.236594768,0.305268508,1,5.630371562,19.93288699,44,32.68,0,0
M0602,4511,airline,AE,53.49098006,0.030052322,0.045294856,0.093883936,0.983097182,0.47142183,0.063738405,0,4.956837196,11.51096576,115,75.46,0,0
M0661,4121,transport_shuttle,EU,91.58936209,0.005366641,0.182299022,0.3907884,0.977871043,-0.399777152,0.006004965,0,0,6.930561685,9,31.82,0,0
M0337,8299,education_courses,IN,66.05170522,0.031525672,0.051640299,0.172665866,0.978771936,-0.229986813,0.502487194,0,6.024446166,0,25,70.14,0,0
M0266,4722,tour_operator,EU,67.79057872,0.015097062,0.22800408,0.035767326,0.979189362,-0.212147282,-0.200647955,14,8.463631745,0,47,27.84,0,0
M0708,4722,tour_operator,AU,56.52009617,0.003387692,0.04904438,0.069593991,0.99251501,0.163937364,0.165171349,0,3.93905857,13.65961428,77,129.99,1,0
M0103,8299,education_courses,ZA,55.09541369,0.040051611,0.02951758,0.033008648,0.988345445,-0.020125749,0.162456146,1,8.881890273,0,34,40.4,0,0
M0394,4722,online_travel_agency,CA,53.55177946,0.047213977,0.036098338,0.0886945,0.970174972,0.090137992,-0.085829943,0,8.794134332,15.32477138,222,75.12,0,0
